Object,Entry Time,Exit Time
person,2024-11-24 09:57:21,IN PROGRESS
refrigerator,2024-11-24 09:57:22,IN PROGRESS
refrigerator,2024-11-24 09:57:22,2024-11-24 09:57:31
refrigerator,2024-11-24 09:57:32,IN PROGRESS
refrigerator,2024-11-24 09:57:32,2024-11-24 09:57:38
refrigerator,2024-11-24 09:57:38,IN PROGRESS
refrigerator,2024-11-24 09:57:38,2024-11-24 09:57:39
refrigerator,2024-11-24 09:57:39,IN PROGRESS
refrigerator,2024-11-24 09:57:39,2024-11-24 09:57:55
refrigerator,2024-11-24 09:57:55,IN PROGRESS
refrigerator,2024-11-24 09:57:55,2024-11-24 09:57:56
refrigerator,2024-11-24 09:57:57,IN PROGRESS
refrigerator,2024-11-24 09:57:57,2024-11-24 09:57:57
refrigerator,2024-11-24 09:57:57,IN PROGRESS
refrigerator,2024-11-24 09:57:57,2024-11-24 09:57:57
refrigerator,2024-11-24 09:57:58,IN PROGRESS
refrigerator,2024-11-24 09:57:58,2024-11-24 09:57:59
refrigerator,2024-11-24 09:57:59,IN PROGRESS
refrigerator,2024-11-24 09:57:59,2024-11-24 09:58:00
refrigerator,2024-11-24 09:58:00,IN PROGRESS
cell phone,2024-11-24 09:58:14,IN PROGRESS
cell phone,2024-11-24 09:58:14,2024-11-24 09:58:14
cell phone,2024-11-24 09:58:15,IN PROGRESS
cell phone,2024-11-24 09:58:15,2024-11-24 09:58:15
person,2024-11-24 10:00:29,IN PROGRESS
cell phone,2024-11-24 10:00:29,IN PROGRESS
refrigerator,2024-11-24 10:00:29,IN PROGRESS
refrigerator,2024-11-24 10:00:29,2024-11-24 10:00:29
refrigerator,2024-11-24 10:00:30,IN PROGRESS
cell phone,2024-11-24 10:00:29,2024-11-24 10:00:30
cell phone,2024-11-24 10:00:30,IN PROGRESS
refrigerator,2024-11-24 10:00:30,2024-11-24 10:00:30
refrigerator,2024-11-24 10:00:30,IN PROGRESS
cell phone,2024-11-24 10:00:30,2024-11-24 10:00:31
refrigerator,2024-11-24 10:00:30,2024-11-24 10:00:31
cell phone,2024-11-24 10:00:31,IN PROGRESS
cell phone,2024-11-24 10:00:31,2024-11-24 10:00:31
cell phone,2024-11-24 10:00:32,IN PROGRESS
refrigerator,2024-11-24 10:00:32,IN PROGRESS
cell phone,2024-11-24 10:00:32,2024-11-24 10:00:33
refrigerator,2024-11-24 10:00:32,2024-11-24 10:00:33
cell phone,2024-11-24 10:00:34,IN PROGRESS
refrigerator,2024-11-24 10:00:34,IN PROGRESS
refrigerator,2024-11-24 10:00:34,2024-11-24 10:00:35
refrigerator,2024-11-24 10:00:35,IN PROGRESS
cell phone,2024-11-24 10:00:34,2024-11-24 10:00:35
refrigerator,2024-11-24 10:00:35,2024-11-24 10:00:36
cell phone,2024-11-24 10:00:36,IN PROGRESS
cell phone,2024-11-24 10:00:36,2024-11-24 10:00:36
cell phone,2024-11-24 10:00:37,IN PROGRESS
cell phone,2024-11-24 10:00:37,2024-11-24 10:00:38
cell phone,2024-11-24 10:00:44,IN PROGRESS
donut,2024-11-24 10:00:45,IN PROGRESS
cell phone,2024-11-24 10:00:44,2024-11-24 10:00:45
donut,2024-11-24 10:00:45,2024-11-24 10:00:45
donut,2024-11-24 10:00:46,IN PROGRESS
cell phone,2024-11-24 10:00:46,IN PROGRESS
donut,2024-11-24 10:00:46,2024-11-24 10:00:46
cell phone,2024-11-24 10:00:46,2024-11-24 10:00:46
donut,2024-11-24 10:00:46,IN PROGRESS
cell phone,2024-11-24 10:00:47,IN PROGRESS
donut,2024-11-24 10:00:46,2024-11-24 10:00:47
pizza,2024-11-24 10:00:47,IN PROGRESS
pizza,2024-11-24 10:00:47,2024-11-24 10:00:48
cell phone,2024-11-24 10:00:47,2024-11-24 10:00:48
cell phone,2024-11-24 10:00:48,IN PROGRESS
cell phone,2024-11-24 10:00:48,2024-11-24 10:00:49
cell phone,2024-11-24 10:00:49,IN PROGRESS
cell phone,2024-11-24 10:00:49,2024-11-24 10:00:52
cell phone,2024-11-24 10:00:53,IN PROGRESS
cell phone,2024-11-24 10:00:53,2024-11-24 10:00:53
cell phone,2024-11-24 10:00:59,IN PROGRESS
umbrella,2024-11-24 10:01:00,IN PROGRESS
umbrella,2024-11-24 10:01:00,2024-11-24 10:01:00
cell phone,2024-11-24 10:00:59,2024-11-24 10:01:01
cell phone,2024-11-24 10:01:01,IN PROGRESS
cell phone,2024-11-24 10:01:01,2024-11-24 10:01:02
cell phone,2024-11-24 10:01:02,IN PROGRESS
cell phone,2024-11-24 10:01:02,2024-11-24 10:01:03
cell phone,2024-11-24 10:01:03,IN PROGRESS
cell phone,2024-11-24 10:01:03,2024-11-24 10:01:05
cell phone,2024-11-24 10:01:05,IN PROGRESS
cell phone,2024-11-24 10:01:05,2024-11-24 10:01:05
cell phone,2024-11-24 10:01:06,IN PROGRESS
cell phone,2024-11-24 10:01:06,2024-11-24 10:01:07
cell phone,2024-11-24 10:01:08,IN PROGRESS
cell phone,2024-11-24 10:01:08,2024-11-24 10:01:09
cell phone,2024-11-24 10:01:09,IN PROGRESS
cell phone,2024-11-24 10:01:09,2024-11-24 10:01:10
cell phone,2024-11-24 10:01:11,IN PROGRESS
cell phone,2024-11-24 10:01:11,2024-11-24 10:01:11
cell phone,2024-11-24 10:01:12,IN PROGRESS
cell phone,2024-11-24 10:01:12,2024-11-24 10:01:12
cell phone,2024-11-24 10:01:13,IN PROGRESS
cell phone,2024-11-24 10:01:13,2024-11-24 10:01:13
cell phone,2024-11-24 10:01:14,IN PROGRESS
cell phone,2024-11-24 10:01:14,2024-11-24 10:01:15
cell phone,2024-11-24 10:01:15,IN PROGRESS
cell phone,2024-11-24 10:01:15,2024-11-24 10:01:15
cell phone,2024-11-24 10:01:17,IN PROGRESS
cell phone,2024-11-24 10:01:17,2024-11-24 10:01:18
cell phone,2024-11-24 10:01:19,IN PROGRESS
cell phone,2024-11-24 10:01:19,2024-11-24 10:01:21
cell phone,2024-11-24 10:01:21,IN PROGRESS
cell phone,2024-11-24 10:01:21,2024-11-24 10:01:22
cell phone,2024-11-24 10:01:22,IN PROGRESS
cell phone,2024-11-24 10:01:22,2024-11-24 10:01:24
cell phone,2024-11-24 10:01:24,IN PROGRESS
cell phone,2024-11-24 10:01:24,2024-11-24 10:01:24
cell phone,2024-11-24 10:01:25,IN PROGRESS
cell phone,2024-11-24 10:01:25,2024-11-24 10:01:25
cell phone,2024-11-24 10:01:26,IN PROGRESS
cell phone,2024-11-24 10:01:26,2024-11-24 10:01:26
cell phone,2024-11-24 10:01:27,IN PROGRESS
cell phone,2024-11-24 10:01:27,2024-11-24 10:01:28
cell phone,2024-11-24 10:01:28,IN PROGRESS
cell phone,2024-11-24 10:01:28,2024-11-24 10:01:28
cell phone,2024-11-24 10:01:29,IN PROGRESS
cell phone,2024-11-24 10:01:29,2024-11-24 10:01:30
teddy bear,2024-11-24 10:01:30,IN PROGRESS
cell phone,2024-11-24 10:01:30,IN PROGRESS
teddy bear,2024-11-24 10:01:30,2024-11-24 10:01:30
umbrella,2024-11-24 10:01:31,IN PROGRESS
cell phone,2024-11-24 10:01:30,2024-11-24 10:01:31
umbrella,2024-11-24 10:01:31,2024-11-24 10:01:31
tie,2024-11-24 10:01:32,IN PROGRESS
tie,2024-11-24 10:01:32,2024-11-24 10:01:33
cell phone,2024-11-24 10:01:33,IN PROGRESS
cell phone,2024-11-24 10:01:33,2024-11-24 10:01:34
cell phone,2024-11-24 10:01:35,IN PROGRESS
cell phone,2024-11-24 10:01:35,2024-11-24 10:01:37
cell phone,2024-11-24 10:01:37,IN PROGRESS
cell phone,2024-11-24 10:01:37,2024-11-24 10:01:38
cell phone,2024-11-24 10:01:40,IN PROGRESS
cell phone,2024-11-24 10:01:40,2024-11-24 10:01:40
cell phone,2024-11-24 10:01:41,IN PROGRESS
cell phone,2024-11-24 10:01:41,2024-11-24 10:01:46
cell phone,2024-11-24 10:01:47,IN PROGRESS
umbrella,2024-11-24 10:01:47,IN PROGRESS
umbrella,2024-11-24 10:01:47,2024-11-24 10:01:47
cell phone,2024-11-24 10:01:47,2024-11-24 10:01:49
refrigerator,2024-11-24 10:01:50,IN PROGRESS
refrigerator,2024-11-24 10:01:50,2024-11-24 10:01:51
bed,2024-11-24 10:01:51,IN PROGRESS
bed,2024-11-24 10:01:51,2024-11-24 10:01:52
refrigerator,2024-11-24 10:01:52,IN PROGRESS
tie,2024-11-24 10:01:52,IN PROGRESS
tie,2024-11-24 10:01:52,2024-11-24 10:01:53
cell phone,2024-11-24 10:01:53,IN PROGRESS
refrigerator,2024-11-24 10:01:52,2024-11-24 10:01:53
refrigerator,2024-11-24 10:01:54,IN PROGRESS
cell phone,2024-11-24 10:01:53,2024-11-24 10:01:54
cell phone,2024-11-24 10:01:55,IN PROGRESS
cell phone,2024-11-24 10:01:55,2024-11-24 10:01:56
cell phone,2024-11-24 10:01:56,IN PROGRESS
cell phone,2024-11-24 10:01:56,2024-11-24 10:01:57
refrigerator,2024-11-24 10:01:54,2024-11-24 10:01:57
teddy bear,2024-11-24 10:02:03,IN PROGRESS
teddy bear,2024-11-24 10:02:03,2024-11-24 10:02:03
cell phone,2024-11-24 10:02:05,IN PROGRESS
cell phone,2024-11-24 10:02:05,2024-11-24 10:02:07
cell phone,2024-11-24 10:02:07,IN PROGRESS
cell phone,2024-11-24 10:02:07,2024-11-24 10:02:08
cell phone,2024-11-24 10:02:09,IN PROGRESS
cell phone,2024-11-24 10:02:09,2024-11-24 10:02:10
cell phone,2024-11-24 10:02:11,IN PROGRESS
cell phone,2024-11-24 10:02:11,2024-11-24 10:02:12
cell phone,2024-11-24 10:02:15,IN PROGRESS
cell phone,2024-11-24 10:02:15,2024-11-24 10:02:15
cell phone,2024-11-24 10:02:18,IN PROGRESS
cup,2024-11-24 10:02:19,IN PROGRESS
cell phone,2024-11-24 10:02:18,2024-11-24 10:02:19
cup,2024-11-24 10:02:19,2024-11-24 10:02:19
person,2024-11-24 10:06:28,IN PROGRESS
cell phone,2024-11-24 10:06:28,IN PROGRESS
cell phone,2024-11-24 10:06:28,2024-11-24 10:06:29
cell phone,2024-11-24 10:06:29,IN PROGRESS
cell phone,2024-11-24 10:06:29,2024-11-24 10:06:32
cell phone,2024-11-24 10:06:34,IN PROGRESS
cell phone,2024-11-24 10:06:34,2024-11-24 10:06:34
cell phone,2024-11-24 10:06:35,IN PROGRESS
cell phone,2024-11-24 10:06:35,2024-11-24 10:06:38
cell phone,2024-11-24 10:06:40,IN PROGRESS
cell phone,2024-11-24 10:06:40,2024-11-24 10:06:40
cell phone,2024-11-24 10:06:46,IN PROGRESS
cell phone,2024-11-24 10:06:46,2024-11-24 10:06:47
umbrella,2024-11-24 10:06:48,IN PROGRESS
cell phone,2024-11-24 10:06:49,IN PROGRESS
umbrella,2024-11-24 10:06:48,2024-11-24 10:06:49
cell phone,2024-11-24 10:06:49,2024-11-24 10:06:51
cell phone,2024-11-24 10:06:51,IN PROGRESS
cell phone,2024-11-24 10:06:51,2024-11-24 10:06:51
cell phone,2024-11-24 10:06:52,IN PROGRESS
cell phone,2024-11-24 10:06:52,2024-11-24 10:06:54
suitcase,2024-11-24 10:06:55,IN PROGRESS
suitcase,2024-11-24 10:06:55,2024-11-24 10:06:55
refrigerator,2024-11-24 10:06:56,IN PROGRESS
refrigerator,2024-11-24 10:06:56,2024-11-24 10:06:57
refrigerator,2024-11-24 10:06:57,IN PROGRESS
refrigerator,2024-11-24 10:06:57,2024-11-24 10:07:00
refrigerator,2024-11-24 10:07:02,IN PROGRESS
refrigerator,2024-11-24 10:07:02,2024-11-24 10:07:02
refrigerator,2024-11-24 10:07:03,IN PROGRESS
refrigerator,2024-11-24 10:07:03,2024-11-24 10:07:03
refrigerator,2024-11-24 10:07:03,IN PROGRESS
refrigerator,2024-11-24 10:07:03,2024-11-24 10:07:04
refrigerator,2024-11-24 10:07:05,IN PROGRESS
suitcase,2024-11-24 10:07:06,IN PROGRESS
suitcase,2024-11-24 10:07:06,2024-11-24 10:07:07
refrigerator,2024-11-24 10:07:05,2024-11-24 10:07:07
cell phone,2024-11-24 10:07:08,IN PROGRESS
cell phone,2024-11-24 10:07:08,2024-11-24 10:07:09
pizza,2024-11-24 10:07:09,IN PROGRESS
pizza,2024-11-24 10:07:09,2024-11-24 10:07:09
cell phone,2024-11-24 10:07:10,IN PROGRESS
cell phone,2024-11-24 10:07:10,2024-11-24 10:07:10
suitcase,2024-11-24 10:07:13,IN PROGRESS
tie,2024-11-24 10:07:13,IN PROGRESS
suitcase,2024-11-24 10:07:13,2024-11-24 10:07:13
tie,2024-11-24 10:07:13,2024-11-24 10:07:13
cell phone,2024-11-24 10:07:14,IN PROGRESS
cell phone,2024-11-24 10:07:14,2024-11-24 10:07:14
skateboard,2024-11-24 10:07:16,IN PROGRESS
skateboard,2024-11-24 10:07:16,2024-11-24 10:07:16
skateboard,2024-11-24 10:07:17,IN PROGRESS
skateboard,2024-11-24 10:07:17,2024-11-24 10:07:17
umbrella,2024-11-24 10:07:18,IN PROGRESS
umbrella,2024-11-24 10:07:18,2024-11-24 10:07:19
tie,2024-11-24 10:07:19,IN PROGRESS
tie,2024-11-24 10:07:19,2024-11-24 10:07:20
refrigerator,2024-11-24 10:07:21,IN PROGRESS
cell phone,2024-11-24 10:07:22,IN PROGRESS
laptop,2024-11-24 10:07:22,IN PROGRESS
cell phone,2024-11-24 10:07:22,2024-11-24 10:07:22
laptop,2024-11-24 10:07:22,2024-11-24 10:07:22
refrigerator,2024-11-24 10:07:21,2024-11-24 10:07:22
refrigerator,2024-11-24 10:07:23,IN PROGRESS
refrigerator,2024-11-24 10:07:23,2024-11-24 10:07:23
refrigerator,2024-11-24 10:07:24,IN PROGRESS
refrigerator,2024-11-24 10:07:24,2024-11-24 10:07:24
refrigerator,2024-11-24 10:07:24,IN PROGRESS
refrigerator,2024-11-24 10:07:24,2024-11-24 10:07:25
refrigerator,2024-11-24 10:07:26,IN PROGRESS
laptop,2024-11-24 10:07:26,IN PROGRESS
laptop,2024-11-24 10:07:26,2024-11-24 10:07:26
refrigerator,2024-11-24 10:07:26,2024-11-24 10:07:26
refrigerator,2024-11-24 10:07:27,IN PROGRESS
suitcase,2024-11-24 10:07:27,IN PROGRESS
suitcase,2024-11-24 10:07:27,2024-11-24 10:07:28
cell phone,2024-11-24 10:07:29,IN PROGRESS
cell phone,2024-11-24 10:07:29,2024-11-24 10:07:29
refrigerator,2024-11-24 10:07:27,2024-11-24 10:07:30
refrigerator,2024-11-24 10:07:30,IN PROGRESS
refrigerator,2024-11-24 10:07:30,2024-11-24 10:07:31
refrigerator,2024-11-24 10:07:32,IN PROGRESS
cell phone,2024-11-24 10:07:32,IN PROGRESS
refrigerator,2024-11-24 10:07:32,2024-11-24 10:07:32
cell phone,2024-11-24 10:07:32,2024-11-24 10:07:32
refrigerator,2024-11-24 10:07:33,IN PROGRESS
refrigerator,2024-11-24 10:07:33,2024-11-24 10:07:34
cell phone,2024-11-24 10:07:34,IN PROGRESS
refrigerator,2024-11-24 10:07:34,IN PROGRESS
cell phone,2024-11-24 10:07:34,2024-11-24 10:07:35
